holder,shares,dateReported,change
"Summit Trail Advisors, LLC",806,2025-09-30,606
"Empirical Finance, LLC",800,2025-09-30,9
"Kinneret Advisory, LLC",794,2025-09-30,-4
"Glenmede Investment Management, LP",785,2025-09-30,-655
GREENLEAF TRUST,784,2025-09-30,9
"UNITED CAPITAL FINANCIAL ADVISERS, LLC",782,2025-09-30,138
Glenview Trust Co,775,2025-09-30,-6
QUADRANT CAPITAL GROUP LLC,774,2025-09-30,0
WINTON GROUP Ltd,772,2025-09-30,772
"Sequoia Financial Advisors, LLC",761,2025-09-30,138
"Callan Family Office, LLC",761,2025-09-30,-52
"Reynders McVeigh Capital Management, LLC",760,2025-09-30,6
Abundance Wealth Counselors,751,2025-09-30,-2
"Cresset Asset Management, LLC",748,2025-09-30,416
"ASSETMARK, INC",743,2025-09-30,52
ALLSTATE CORP,729,2025-09-30,729
TOKIO MARINE ASSET MANAGEMENT CO LTD,727,2025-09-30,49
BROWN BROTHERS HARRIMAN & CO,724,2025-09-30,60
LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA,715,2025-09-30,0
Gen-Wealth Partners Inc,704,2025-09-30,-65
GUYASUTA INVESTMENT ADVISORS INC,693,2025-09-30,-125
BECK MACK & OLIVER LLC,690,2025-09-30,0
"Horizon Investments, LLC",690,2025-09-30,-15
J. Safra Sarasin Holding AG,683,2025-09-30,683
SILVERCREST ASSET MANAGEMENT GROUP LLC,670,2025-09-30,0
"BROWN, LISLE/CUMMINGS, INC.",658,2025-09-30,0
"NORTHWESTERN MUTUAL INVESTMENT MANAGEMENT COMPANY, LLC",656,2025-09-30,-7
"QRG CAPITAL MANAGEMENT, INC.",655,2025-09-30,198
"Dai-Ichi Life Insurance Company, Ltd",655,2025-09-30,0
"CIBC Private Wealth Group, LLC",654,2025-09-30,2
WETHERBY ASSET MANAGEMENT INC,638,2025-09-30,2
Morningstar Investment Management LLC,634,2025-09-30,634
"Values First Advisors, Inc.",627,2025-09-30,-25
Aster Capital Management (DIFC) Ltd,621,2025-09-30,-27
"AXXCESS WEALTH MANAGEMENT, LLC",619,2025-09-30,-106
"FULLER & THALER ASSET MANAGEMENT, INC.",618,2025-09-30,0
"Brinker Capital Investments, LLC",602,2025-09-30,-99
S&CO INC,600,2025-09-30,0
Freestone Grove Partners LP,598,2025-09-30,-28614
"Aureus Asset Management, LLC",590,2025-09-30,0
EADS & HEALD WEALTH MANAGEMENT,587,2025-09-30,30
"Empowered Funds, LLC",580,2025-09-30,-1283
LOS ANGELES CAPITAL MANAGEMENT LLC,579,2025-09-30,29
GF FUND MANAGEMENT CO. LTD.,573,2025-09-30,55
Scientech Research LLC,573,2025-09-30,573
MERCER GLOBAL ADVISORS INC /ADV,566,2025-09-30,84
NEOS Investment Management LLC,565,2025-09-30,264
Lincoln Capital LLC,560,2025-09-30,-15
MUFG SECURITIES AMERICAS INC.,556,2025-09-30,95
EVERENCE CAPITAL MANAGEMENT INC,550,2025-09-30,0
Squarepoint Ops LLC,549,2025-09-30,-9
Brevan Howard Capital Management LP,549,2025-09-30,106
Kentucky Retirement Systems Insurance Trust Fund,547,2025-09-30,-19
NOMURA HOLDINGS INC,544,2025-09-30,544
Quest Partners LLC,544,2025-09-30,200
STOCK YARDS BANK & TRUST CO,526,2025-09-30,-3
HM PAYSON & CO,524,2025-09-30,0
"PineBridge Investments, L.P.",511,2025-09-30,-1728
GAMMA Investing LLC,510,2025-09-30,8
Point72 Asia (Singapore) Pte. Ltd.,501,2025-09-30,501
Hemenway Trust Co LLC,500,2025-09-30,0
"Ballentine Partners, LLC",499,2025-09-30,-27
Qtron Investments LLC,499,2025-09-30,-167
STRS OHIO,497,2025-09-30,0
OKABENA INVESTMENT SERVICES INC,495,2025-09-30,0
CONGRESS ASSET MANAGEMENT CO /MA,488,2025-09-30,255
"Savant Capital, LLC",485,2025-09-30,14
"Cynosure Group, LLC",485,2025-09-30,-753
"Hikari Tsushin, Inc.",482,2025-09-30,0
"Meridian Wealth Management, LLC",480,2025-09-30,8
"DEFINED WEALTH MANAGEMENT, LLC",469,2025-09-30,4
Meiji Yasuda Life Insurance Co,467,2025-09-30,70
"Koshinski Asset Management, Inc.",465,2025-09-30,-27
