date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,recordDate,paymentDate,declarationDate
2021-12-23,820,821.82,813.91,818.76,755.18,433200,433200,-1.24,-0.15122,818.6225,"December 23, 21",-0.0015122,,,,,
2021-12-22,810.16,819.42,805.89,818.73,755.15,333243,333243,8.57,1.06,813.55,"December 22, 21",0.0106,,,,,
2021-12-21,826.48,828.38,799.24,804.58,742.1,506500,506500,-21.9,-2.65,814.67,"December 21, 21",-0.0265,,,,,
2021-12-20,817.21,826.82,812.02,822.35,758.49,450900,450900,5.14,0.62897,819.6,"December 20, 21",0.0062897,,,,,
2021-12-17,811.63,830.88,811.63,822.26,758.4,713706,713706,10.63,1.31,819.1,"December 17, 21",0.0131,,,,,
2021-12-16,820.27,829.69,818.45,822.9,758.99,385100,385100,2.63,0.32063,822.8275,"December 16, 21",0.0032063,,,,,
2021-12-15,811.27,821.47,807.54,817.09,753.63,462600,462600,5.82,0.71739,814.3425,"December 15, 21",0.0071739,,,,,
2021-12-14,815,815,790.32,805.83,743.25,527306,527306,-9.17,-1.13,806.5375,"December 14, 21",-0.0113,,,,,
2021-12-13,793.79,820.91,793.79,816.17,752.79,408100,408100,22.38,2.82,806.165,"December 13, 21",0.0282,,,,,
2021-12-10,801.16,802.2,793.74,797.89,735.93,305525,305525,-3.27,-0.40816,798.7475,"December 10, 21",-0.0040816,,,,,
2021-12-09,814.34,814.34,792.83,798.8,736.77,247400,247400,-15.54,-1.91,805.0775,"December 09, 21",-0.0191,,,,,
2021-12-08,810.92,815.62,802.41,814.46,751.21,321900,321900,3.54,0.43654,810.8525,"December 08, 21",0.0043654,,,,,
2021-12-07,803.83,818.92,800.59,812.86,749.73,316528,316528,9.03,1.12,809.05,"December 07, 21",0.0112,,,,,
2021-12-06,795.53,799.86,789.22,796.47,734.62,299300,299300,0.94,0.11816,795.27,"December 06, 21",0.0011816,,,,,
2021-12-03,807.02,807.62,783.62,794.03,732.37,393242,393242,-12.99,-1.61,798.0725,"December 03, 21",-0.0161,,,,,
2021-12-02,803.58,805.21,791.68,798.61,736.59,457711,457711,-4.97,-0.61848,799.77,"December 02, 21",-0.0061848,,,,,
2021-12-01,815.52,823,802.48,803.45,741.05,834043,834043,-12.07,-1.48,811.1125,"December 01, 21",-0.0148,,,,,
2021-11-30,817.29,833.38,810.81,812.2,749.12,1068923,1068923,-5.09,-0.62279,818.42,"November 30, 21",-0.0062279,,,,,
2021-11-29,796.83,822.13,790.61,820,756.32,589100,589100,23.17,2.91,807.3925,"November 29, 21",0.0291,,,,,
2021-11-26,796.62,813.79,789.54,793.84,732.19,325301,325301,-2.78,-0.34897,798.4475,"November 26, 21",-0.0034897,,,,,
2021-11-24,782.15,798.19,771.08,797.59,735.65,325575,325575,15.44,1.97,787.2525,"November 24, 21",0.0197,,,,,
2021-11-23,777.97,782.14,771.03,779.36,718.83,725132,725132,1.39,0.17867,777.625,"November 23, 21",0.0017867,,,,,
2021-11-22,787.47,788.62,774.57,777.21,716.85,531001,531001,-10.26,-1.3,781.9675,"November 22, 21",-0.013,,,,,
2021-11-19,800,800.76,787.45,788.53,727.29,656300,656300,-11.47,-1.43,794.185,"November 19, 21",-0.0143,,,,,
2021-11-18,799.99,799.99,791.21,792.84,731.27,330949,330949,-7.15,-0.89376,796.0075,"November 18, 21",-0.0089376,,,,,
2021-11-17,799.87,803.69,795.69,798,736.03,594703,594703,-1.87,-0.23379,799.3125,"November 17, 21",-0.0023379,,,,,
2021-11-16,798.27,802,794.78,795.1,733.35,427400,427400,-3.17,-0.39711,797.5375,"November 16, 21",-0.0039711,2.87,2.87,2021-11-17,2021-12-15,2021-11-03
2021-11-15,775.75,800,775.39,797.84,733.23,739600,739600,22.09,2.85,787.245,"November 15, 21",0.0285,,,,,
2021-11-12,781.81,781.82,774.21,775.39,712.6,575300,575300,-6.42,-0.82117,778.3075,"November 12, 21",-0.0082117,,,,,
2021-11-11,787.95,788.34,770.62,774.67,711.94,410038,410038,-13.28,-1.69,780.395,"November 11, 21",-0.0169,,,,,
2021-11-10,796.12,801.99,779.56,781.41,718.13,431400,431400,-14.71,-1.85,789.77,"November 10, 21",-0.0185,,,,,
2021-11-09,790.76,804.56,788.15,797.79,733.18,298200,298200,7.03,0.88902,795.315,"November 09, 21",0.0088902,,,,,
2021-11-08,783,792.82,770,786.9,723.18,424104,424104,3.9,0.49808,783.18,"November 08, 21",0.0049808,,,,,
2021-11-05,808.24,809.95,780.24,781.92,718.6,547700,547700,-26.32,-3.26,795.0875,"November 05, 21",-0.0326,,,,,
2021-11-04,808,809.47,784.81,803.59,738.52,636206,636206,-4.41,-0.54579,801.4675,"November 04, 21",-0.0054579,,,,,
2021-11-03,843.5,847,828.13,837.88,770.03,212600,212600,-5.62,-0.66627,839.1275,"November 03, 21",-0.0066627,,,,,
2021-11-02,833.2,845.92,829.12,836.91,769.14,279800,279800,3.71,0.44527,836.2875,"November 02, 21",0.0044527,,,,,
2021-11-01,836.7,836.7,821.14,830.46,763.21,365500,365500,-6.24,-0.74579,831.25,"November 01, 21",-0.0074579,,,,,
2021-10-29,842.01,849.11,833.43,837.07,769.28,512400,512400,-4.94,-0.58669,840.405,"October 29, 21",-0.0058669,,,,,
2021-10-28,824.82,847.84,824.82,847.3,778.69,331400,331400,22.48,2.73,836.195,"October 28, 21",0.0273,,,,,
2021-10-27,843.56,849.51,824.41,824.82,758.03,305300,305300,-18.74,-2.22,835.575,"October 27, 21",-0.0222,,,,,
2021-10-26,826.1,834.57,824.23,831.85,764.49,279600,279600,5.75,0.69604,829.1875,"October 26, 21",0.0069604,,,,,
2021-10-25,820.31,829.5,815.35,822.78,756.15,312100,312100,2.47,0.30111,821.985,"October 25, 21",0.0030111,,,,,
2021-10-22,815.77,824.54,811.78,821.02,754.53,308843,308843,5.25,0.64356,818.2775,"October 22, 21",0.0064356,,,,,
2021-10-21,798.85,815.15,792.74,810.16,744.55,421000,421000,11.31,1.42,804.225,"October 21, 21",0.0142,,,,,
2021-10-20,779.67,795.8,779.67,793.84,729.55,457720,457720,14.17,1.82,787.245,"October 20, 21",0.0182,,,,,
2021-10-19,775.02,780,769.12,779.67,716.53,549700,549700,4.65,0.59998,775.9525,"October 19, 21",0.0059998,,,,,
2021-10-18,775.44,781.99,766.89,767.77,705.6,475000,475000,-7.67,-0.98912,773.0225,"October 18, 21",-0.0098912,,,,,
2021-10-15,772.23,784.49,768.08,781.39,718.11,544206,544206,9.16,1.19,776.5475,"October 15, 21",0.0119,,,,,
2021-10-14,769.33,776.25,766.19,769.65,707.32,353500,353500,0.32,0.04159463,770.355,"October 14, 21",0.0004159463,,,,,
2021-10-13,755.74,767.89,755.74,763.45,701.63,386600,386600,7.71,1.02,760.705,"October 13, 21",0.0102,,,,,
2021-10-12,748.74,760.42,746.22,759.43,697.93,352007,352007,10.69,1.43,753.7025,"October 12, 21",0.0143,,,,,
2021-10-11,754.17,755.02,744.79,750.01,689.27,320800,320800,-4.16,-0.5516,750.9975,"October 11, 21",-0.005516,,,,,
2021-10-08,762.68,765.14,748.03,750.96,690.15,468809,468809,-11.72,-1.54,756.7025,"October 08, 21",-0.0154,,,,,
2021-10-07,765.72,774.9,760.87,766.49,704.42,535500,535500,0.77,0.10056,766.995,"October 07, 21",0.0010056,,,,,
2021-10-06,762,766.28,747.88,762.32,700.59,725912,725912,0.32,0.04199475,759.62,"October 06, 21",0.0004199475,,,,,
2021-10-05,774,776.78,755.65,760.07,698.52,675400,675400,-13.93,-1.8,766.625,"October 05, 21",-0.018,,,,,
2021-10-04,790.81,795.74,779.58,785.61,721.99,405582,405582,-5.2,-0.65755,787.935,"October 04, 21",-0.0065755,,,,,
2021-10-01,793,796.38,780.44,789.32,725.4,515139,515139,-3.68,-0.46406,789.785,"October 01, 21",-0.0046406,,,,,
2021-09-30,808.37,812.07,789.07,790.13,726.15,522100,522100,-18.24,-2.26,799.91,"September 30, 21",-0.0226,,,,,
2021-09-29,802.75,810.76,800.42,801.58,736.67,376400,376400,-1.17,-0.14575,803.8775,"September 29, 21",-0.0014575,,,,,
2021-09-28,800,802.93,786.89,798.94,734.24,517300,517300,-1.06,-0.1325,797.19,"September 28, 21",-0.001325,,,,,
2021-09-27,827.69,828.9,807.09,807.53,742.14,489346,489346,-20.16,-2.44,817.8025,"September 27, 21",-0.0244,,,,,
2021-09-24,846.51,847.84,828.52,834.68,767.09,472804,472804,-11.83,-1.4,839.3875,"September 24, 21",-0.014,,,,,
2021-09-23,861.11,868.82,834.05,848.01,779.34,637238,637238,-13.1,-1.52,852.9975,"September 23, 21",-0.0152,,,,,
2021-09-22,850.74,864.34,842.72,860.12,790.47,557922,557922,9.38,1.1,854.48,"September 22, 21",0.011,,,,,
2021-09-21,850,861.49,848.14,848.2,779.51,392300,392300,-1.8,-0.21176,851.9575,"September 21, 21",-0.0021176,,,,,
2021-09-20,861.81,871.24,840.98,850.23,781.38,856830,856830,-11.58,-1.34,856.065,"September 20, 21",-0.0134,,,,,
2021-09-17,848.75,873.77,844.08,872.58,801.92,3852544,3852544,23.83,2.81,859.795,"September 17, 21",0.0281,,,,,
2021-09-16,841.59,855.41,838.2,853.25,784.15,514418,514418,11.66,1.39,847.1125,"September 16, 21",0.0139,,,,,
2021-09-15,843.8,850.15,833.08,843.44,775.14,466730,466730,-0.36,-0.04266414,842.6175,"September 15, 21",-0.0004266414,,,,,
2021-09-14,847,852.57,832.79,834.89,767.28,609100,609100,-12.11,-1.43,841.8125,"September 14, 21",-0.0143,,,,,
2021-09-13,850,852.93,833.46,839.54,771.55,435933,435933,-10.46,-1.23,843.9825,"September 13, 21",-0.0123,,,,,
2021-09-10,845.67,850.89,832.91,844,775.65,475200,475200,-1.67,-0.19748,843.3675,"September 10, 21",-0.0019748,,,,,
2021-09-09,877.82,878.09,852.42,854.56,785.36,533007,533007,-23.26,-2.65,865.7225,"September 09, 21",-0.0265,,,,,
2021-09-08,880.72,883.24,874.09,882.31,810.86,331841,331841,1.59,0.18053,880.09,"September 08, 21",0.0018053,,,,,
2021-09-07,865.5,884.23,859.56,881.76,810.36,447700,447700,16.26,1.88,872.7625,"September 07, 21",0.0188,,,,,
2021-09-03,866.79,885.26,866,882.83,811.34,516500,516500,16.04,1.85,875.22,"September 03, 21",0.0185,,,,,
2021-09-02,866.05,875.79,852.11,874.43,803.62,616737,616737,8.38,0.96761,867.095,"September 02, 21",0.0096761,,,,,
2021-09-01,837.93,869.88,837.93,868.84,798.48,477504,477504,30.91,3.69,853.645,"September 01, 21",0.0369,,,,,
2021-08-31,840,848.48,833.83,843.45,775.15,508100,508100,3.45,0.41071,841.44,"August 31, 21",0.0041071,,,,,
2021-08-30,825.5,842.79,824.65,840.03,772,322600,322600,14.53,1.76,833.2425,"August 30, 21",0.0176,,,,,
2021-08-27,827.9,830.26,819,824.81,758.02,384310,384310,-3.09,-0.37323,825.4925,"August 27, 21",-0.0037323,,,,,
2021-08-26,807.53,830.18,807.53,824.99,758.18,516007,516007,17.46,2.16,817.5575,"August 26, 21",0.0216,,,,,
2021-08-25,819.09,821.48,801.2,807.53,742.14,317226,317226,-11.56,-1.41,812.325,"August 25, 21",-0.0141,,,,,
2021-08-24,838,838,819.3,820.24,753.82,349845,349845,-17.76,-2.12,828.885,"August 24, 21",-0.0212,,,,,
2021-08-23,835,840,830.17,835.57,767.91,392300,392300,0.57,0.06826347,835.185,"August 23, 21",0.0006826347,,,,,
2021-08-20,833.13,843.5,829.79,835.63,767.96,339200,339200,2.5,0.30007,835.5125,"August 20, 21",0.0030007,,,,,
2021-08-19,814.27,838,811.23,833.96,766.43,451800,451800,19.69,2.42,824.365,"August 19, 21",0.0242,,,,,
2021-08-18,824.48,826.02,811.94,814.27,748.33,269434,269434,-10.21,-1.24,819.1775,"August 18, 21",-0.0124,,,,,
2021-08-17,820,829.08,816.06,827.81,760.77,295400,295400,7.81,0.95244,823.2375,"August 17, 21",0.0095244,2.87,2.87,2021-08-18,2021-09-22,2021-07-28
2021-08-16,814.07,824.28,814.07,822.94,753.66,300655,300655,8.87,1.09,818.84,"August 16, 21",0.0109,,,,,
2021-08-13,813.65,817.08,805.2,814.09,745.55,315700,315700,0.44,0.05407731,812.505,"August 13, 21",0.0005407731,,,,,
2021-08-12,809.72,817.03,805.21,811.72,743.38,454300,454300,2,0.247,810.92,"August 12, 21",0.00247,,,,,
2021-08-11,803.27,809.9,797.67,806.88,738.95,596235,596235,3.61,0.44941,804.43,"August 11, 21",0.0044941,,,,,
2021-08-10,818.18,818.18,797.65,797.97,730.79,487900,487900,-20.21,-2.47,807.995,"August 10, 21",-0.0247,,,,,
2021-08-09,824.02,824.02,814.29,814.99,746.38,422100,422100,-9.03,-1.1,819.33,"August 09, 21",-0.011,,,,,
2021-08-06,825.37,829.04,818.61,820.15,751.1,525231,525231,-5.22,-0.63244,823.2925,"August 06, 21",-0.0063244,,,,,
2021-08-05,832.08,833.9,822.52,830.62,760.69,334826,334826,-1.46,-0.17546,829.78,"August 05, 21",-0.0017546,,,,,
2021-08-04,821.96,832.85,818.84,828.34,758.6,331534,331534,6.38,0.77619,825.4975,"August 04, 21",0.0077619,,,,,
2021-08-03,822.89,834,816.15,820.31,751.25,478900,478900,-2.58,-0.31353,823.3375,"August 03, 21",-0.0031353,,,,,
2021-08-02,820,826.06,813.42,818.99,750.04,505711,505711,-1.01,-0.12317,819.6175,"August 02, 21",-0.0012317,,,,,
2021-07-30,790.96,829.74,790.96,820.41,751.34,676400,676400,29.45,3.72,808.0175,"July 30, 21",0.0372,,,,,
