holder,shares,dateReported,change
Police & Firemen's Retirement System of New Jersey,110183,2025-09-30,6556
Lorne Steinberg Wealth Management Inc.,108790,2025-09-30,-1580
OSSIAM,108258,2025-09-30,-160044
"Metis Global Partners, LLC",107570,2025-09-30,18484
Wealthfront Advisers LLC,107078,2025-09-30,-5509
Elo Mutual Pension Insurance Co,103101,2025-09-30,32125
Achmea Investment Management B.V.,102740,2025-09-30,0
"BOKF, NA",101513,2025-09-30,-20157
CIBC Asset Management Inc,100701,2025-09-30,58
BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp,98042,2025-09-30,-9423
"D. E. Shaw & Co., Inc.",95165,2025-09-30,90194
"MML INVESTORS SERVICES, LLC",94676,2025-09-30,616
NEW YORK LIFE INVESTMENT MANAGEMENT LLC,92700,2025-09-30,-457
TRUST CO OF VERMONT,92410,2025-09-30,4845
"ADAMS NATURAL RESOURCES FUND, INC.",91945,2025-09-30,0
CARY STREET PARTNERS FINANCIAL LLC,90744,2025-09-30,1020
NEOS Investment Management LLC,90740,2025-09-30,26276
CRAMER ROSENTHAL MCGLYNN LLC,90717,2025-09-30,-660
"BEARING POINT CAPITAL, LLC",89986,2025-09-30,-925
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,89497,2025-09-30,-1427
"Mirae Asset Global Investments Co., Ltd.",89118,2025-09-30,11633
"IEQ CAPITAL, LLC",88995,2025-09-30,45961
CAPTRUST FINANCIAL ADVISORS,88749,2025-09-30,-5262
Hosking Partners LLP,88439,2025-09-30,-1598
"NAPLES GLOBAL ADVISORS, LLC",88174,2025-09-30,-370
"Olstein Capital Management, L.P.",88000,2025-09-30,-6000
"Entropy Technologies, LP",87874,2025-09-30,81114
"Vanguard Personalized Indexing Management, LLC",87870,2025-09-30,3472
"YOUSIF CAPITAL MANAGEMENT, LLC",87476,2025-09-30,-5367
"Kovitz Investment Group Partners, LLC",86591,2025-09-30,667
"CAPSTONE INVESTMENT ADVISORS, LLC",86152,2025-09-30,18198
NISSAY ASSET MANAGEMENT CORP /JAPAN/ /ADV,85460,2025-09-30,735
"Sumitomo Mitsui DS Asset Management Company, Ltd",85287,2025-09-30,679
"Lido Advisors, LLC",84654,2025-09-30,61620
THRIVENT FINANCIAL FOR LUTHERANS,84644,2025-09-30,-939907
WINTON GROUP Ltd,84345,2025-09-30,84345
LOOMIS SAYLES & CO L P,83864,2025-09-30,83864
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,83838,2025-09-30,-3589
BANK OF NOVA SCOTIA,83720,2025-09-30,22849
"Linscomb & Williams, Inc.",83266,2025-09-30,-896
Federation des caisses Desjardins du Quebec,82227,2025-09-30,39873
BESSEMER GROUP INC,81773,2025-09-30,-3536542
Murphy Pohlad Asset Management LLC,80317,2025-09-30,-950
HERITAGE INVESTORS MANAGEMENT CORP,77770,2025-09-30,-135
OREGON PUBLIC EMPLOYEES RETIREMENT FUND,77634,2025-09-30,18694
"Ironwood Investment Counsel, LLC",77599,2025-09-30,2773
Ethic Inc.,77583,2025-09-30,-2230
BLAIR WILLIAM & CO/IL,76997,2025-09-30,-3142
"CWM, LLC",76833,2025-09-30,23198
"State of Alaska, Department of Revenue",75962,2025-09-30,-3844
NORDEA INVESTMENT MANAGEMENT AB,75675,2025-09-30,16261
WINDWARD CAPITAL MANAGEMENT CO /CA,75659,2025-09-30,-533
Machina Capital S.A.S.,75483,2025-09-30,59319
"Americana Partners, LLC",75191,2025-09-30,1552
Pallas Capital Advisors LLC,74923,2025-09-30,3774
Alberta Investment Management Corp,74200,2025-09-30,74200
MUTUAL OF AMERICA CAPITAL MANAGEMENT LLC,73601,2025-09-30,-4620
"Nordwand Advisors, LLC",72615,2025-09-30,2035
"ASSETMARK, INC",72420,2025-09-30,44
"PARTNERS CAPITAL INVESTMENT GROUP, LLP",71127,2025-09-30,0
"Fieldview Capital Management, LLC",70821,2025-09-30,70821
Y-Intercept (Hong Kong) Ltd,70282,2025-09-30,51819
"Horizon Investments, LLC",69953,2025-09-30,25192
iSAM Funds (UK) Ltd,69283,2025-09-30,56401
Rehmann Capital Advisory Group,69259,2025-09-30,254
MERCER GLOBAL ADVISORS INC /ADV,68879,2025-09-30,12064
Arlington Partners LLC,68731,2025-09-30,2209
"Colony Group, LLC",68436,2025-09-30,1779
"Catalytic Wealth RIA, LLC",68363,2025-09-30,37147
Haverford Trust Co,65694,2025-09-30,-596
"Allspring Global Investments Holdings, LLC",65426,2025-09-30,16339
"Goelzer Investment Management, Inc.",65218,2025-09-30,-1983
Ilmarinen Mutual Pension Insurance Co,65000,2025-09-30,0
Sciencast Management LP,64875,2025-09-30,14546
TriaGen Wealth Management LLC,63340,2025-09-30,63340
"Stratos Wealth Partners, LTD.",63248,2025-09-30,960
KEYBANK NATIONAL ASSOCIATION/OH,63158,2025-09-30,185
TD Waterhouse Canada Inc.,62567,2025-09-30,142
"True North Advisors, LLC",60570,2025-09-30,94
GUGGENHEIM CAPITAL LLC,60336,2025-09-30,810
"QRG CAPITAL MANAGEMENT, INC.",60062,2025-09-30,-8656
PUBLIC SECTOR PENSION INVESTMENT BOARD,58528,2025-09-30,6891
"Steigerwald, Gordon & Koch Inc.",57992,2025-09-30,-89
"Rafferty Asset Management, LLC",57872,2025-09-30,66
"Atria Investments, Inc",57855,2025-09-30,-2184
COMMERCE BANK,55268,2025-09-30,813
Rockefeller Capital Management L.P.,54912,2025-09-30,-7736
"BOOTHBAY FUND MANAGEMENT, LLC",53996,2025-09-30,-3604
AUXIER ASSET MANAGEMENT,53929,2025-09-30,-98
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,53826,2025-09-30,0
Estabrook Capital Management,53135,2025-09-30,-1176
RITHOLTZ WEALTH MANAGEMENT,52910,2025-09-30,7382
"Cambridge Investment Research Advisors, Inc.",52860,2025-09-30,544
Generali Asset Management SPA SGR,51713,2025-09-30,25499
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,51584,2025-09-30,24371
D.A. DAVIDSON & CO.,50804,2025-09-30,-2605
MCINTYRE FREEDMAN & FLYNN INVESTMENT ADVISERS INC,50365,2025-09-30,-250
OSTRUM ASSET MANAGEMENT,50332,2025-09-30,-8801
"Oxbow Advisors, LLC",50228,2025-09-30,518
DoubleLine ETF Adviser LP,49785,2025-09-30,1621
MIZUHO SECURITIES USA LLC,49461,2025-09-30,2322
Wakefield Asset Management LLLP,49101,2025-09-30,49101
"Empowered Funds, LLC",48873,2025-09-30,-19139
ING GROEP NV,47917,2025-09-30,-41844
BRANDYWINE OAK PRIVATE WEALTH LLC,47913,2025-09-30,-41
NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO,47503,2025-09-30,-1507
"Kingsview Wealth Management, LLC",47372,2025-09-30,33383
MEYER HANDELMAN CO,46945,2025-09-30,-350
Capital Group Investment Management Pte. Ltd.,46908,2025-09-30,-4905
"Advisors Asset Management, Inc.",46507,2025-09-30,2883
BNP Paribas Asset Management Holding S.A.,45945,2025-09-30,-1190
AZZAD ASSET MANAGEMENT INC /ADV,45635,2025-09-30,-6017
1832 Asset Management L.P.,45619,2025-09-30,8862
Sterling Capital Management LLC,45595,2025-09-30,-3680
GABELLI FUNDS LLC,45000,2025-09-30,-700
BROWN BROTHERS HARRIMAN & CO,44790,2025-09-30,421
"Strengthening Families & Communities, LLC",44362,2025-09-30,-570
"Summit Place Financial Advisors, LLC",44308,2025-09-30,-725
"HANTZ FINANCIAL SERVICES, INC.",44270,2025-09-30,-516
"CoreCommodity Management, LLC",44088,2025-09-30,-24832
Fisher Funds Management LTD,43937,2025-09-30,0
DAVENPORT & Co LLC,43867,2025-09-30,-3678
"Jump Financial, LLC",43258,2025-09-30,23613
Kentucky Retirement Systems,42952,2025-09-30,-1126
Strong Tower Advisory Services,42473,2025-09-30,325
"Dai-Ichi Life Insurance Company, Ltd",42090,2025-09-30,3500
iA Global Asset Management Inc.,41328,2025-09-30,10228
Simmons Bank,40515,2025-09-30,1471
Walnut Level Capital LLC,40000,2025-09-30,0
"Caprock Group, LLC",39997,2025-09-30,39997
HARTFORD INVESTMENT MANAGEMENT CO,39975,2025-09-30,-1344
"Ameritas Investment Partners, Inc.",39899,2025-09-30,-2015
"Norinchukin Bank, The",39008,2025-09-30,943
"UNITED CAPITAL FINANCIAL ADVISERS, LLC",38808,2025-09-30,19426
Quest Partners LLC,38229,2025-09-30,16850
OPPENHEIMER & CO INC,37592,2025-09-30,354
"Qsemble Capital Management, LP",37105,2025-09-30,-68532
HOWE & RUSLING INC,36995,2025-09-30,69
Chesley Taft & Associates LLC,36365,2025-09-30,825
STUDIO INVESTMENT MANAGEMENT LLC,35878,2025-09-30,-656
"DAYMARK WEALTH PARTNERS, LLC",35845,2025-09-30,-1473
"Parallel Advisors, LLC",35683,2025-09-30,383
Louisiana State Employees Retirement System,35600,2025-09-30,-400
"CHOREO, LLC",35520,2025-09-30,4787
"Steward Partners Investment Advisory, LLC",35176,2025-09-30,-265
Candriam S.C.A.,34794,2025-09-30,-415
"Envestnet Portfolio Solutions, Inc.",34667,2025-09-30,-20076
BI Asset Management Fondsmaeglerselskab A/S,34403,2025-09-30,8892
"OBERMEYER WOOD INVESTMENT COUNSEL, LLLP",34002,2025-09-30,0
Gulf International Bank (UK) Ltd,33945,2025-09-30,-620
OMERS ADMINISTRATION Corp,33938,2025-09-30,8800
Maryland State Retirement & Pension System,33808,2025-09-30,557
"MARSHALL WACE, LLP",33570,2025-09-30,-1776194
Larson Financial Group LLC,33550,2025-09-30,2351
"Moors & Cabot, Inc.",33072,2025-09-30,-422
PARK AVENUE SECURITIES LLC,32873,2025-09-30,5837
"SECURIAN ASSET MANAGEMENT, INC",32796,2025-09-30,-2812
"17 CAPITAL PARTNERS, LLC",32789,2025-09-30,40
"Summit Trail Advisors, LLC",32762,2025-09-30,6094
Plato Investment Management Ltd,32598,2025-09-30,0
Midwest Trust Co,32493,2025-09-30,-1175
MAI Capital Management,32384,2025-09-30,17398
TOKIO MARINE ASSET MANAGEMENT CO LTD,32089,2025-09-30,-300
"KESTRA PRIVATE WEALTH SERVICES, LLC",32002,2025-09-30,-1711
Investment Management Corp of Ontario,31985,2025-09-30,-972
"Private Advisor Group, LLC",31692,2025-09-30,1261
"Koss-Olinger Consulting, LLC",31672,2025-09-30,-39
"NewEdge Advisors, LLC",31587,2025-09-30,695
Greenwich Wealth Management LLC,31535,2025-09-30,0
"Vident Advisory, LLC",31089,2025-09-30,1011
NEW MEXICO EDUCATIONAL RETIREMENT BOARD,30847,2025-09-30,-1300
"AXXCESS WEALTH MANAGEMENT, LLC",30765,2025-09-30,510
"Brinker Capital Investments, LLC",30456,2025-09-30,-4149
Diversified Trust Co,30057,2025-09-30,8421
TCW GROUP INC,29918,2025-09-30,-52311
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",29824,2025-09-30,25939
Point72 Asia (Singapore) Pte. Ltd.,29772,2025-09-30,-5633
"CIBC Private Wealth Group, LLC",29663,2025-09-30,3033
OXFORD ASSET MANAGEMENT LLP,29658,2025-09-30,29658
B. Metzler seel. Sohn & Co. AG,29499,2025-09-30,-615
SPROTT INC.,29169,2025-09-30,-95
"Sequoia Financial Advisors, LLC",28574,2025-09-30,3608
"Advisory Services Network, LLC",28370,2025-09-30,-431
Glass Wealth Management Co LLC,28362,2025-09-30,-2510
Parcion Private Wealth LLC,28322,2025-09-30,82
WESBANCO BANK INC,28316,2025-09-30,-698
Brevan Howard Capital Management LP,28111,2025-09-30,-102253
Virtu Financial LLC,27983,2025-09-30,16039
Mediolanum International Funds Ltd,27750,2025-09-30,-691
Cardinal Capital Management,27024,2025-09-30,94
AG2R LA MONDIALE GESTION D'ACTIFS,26908,2025-09-30,0
BRYN MAWR TRUST Co,26737,2025-09-30,-13531
Triangle Securities Wealth Management,26672,2025-09-30,746
FIRST MERCHANTS CORP,26629,2025-09-30,-946
Meiji Yasuda Life Insurance Co,26425,2025-09-30,4797
"Bryn Mawr Capital Management, LLC",26384,2025-09-30,-359
"Radnor Capital Management, LLC",26326,2025-09-30,-169
"Diligent Investors, LLC",26119,2025-09-30,-1363
Argyle Capital Management Inc.,25927,2025-09-30,0
ALLIANZ SE,25804,2025-09-30,0
"Bell & Brown Wealth Advisors, LLC",25649,2025-09-30,-132
Saturna Capital CORP,25553,2025-09-30,-2910
Jain Global LLC,25389,2025-09-30,-22787
Silverberg Bernstein Capital Management LLC,25291,2025-09-30,0
"Concurrent Investment Advisors, LLC",25224,2025-09-30,-85
"Empirical Finance, LLC",25159,2025-09-30,224
