date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,adjDividend,paymentDate,dividend,recordDate
2021-07-28,36.94,37.07,36.57,36.7,34.03,2943465,2943465,-0.244,-0.6497,36.82,"July 28, 21",-0.006497,,,,,
2021-07-27,37.35,37.6,36.5,36.87,34.18,4598520,4598520,-0.482,-1.29,37.08,"July 27, 21",-0.0129,,,,,
2021-07-26,37.52,37.78,37.23,37.61,34.87,3879055,3879055,0.098,0.23987,37.535,"July 26, 21",0.0023987,,,,,
2021-07-23,36.6,37.57,36.55,37.54,34.81,2989270,2989270,0.944,2.57,37.065,"July 23, 21",0.0257,,,,,
2021-07-22,36.26,36.74,36.24,36.48,33.82,3639935,3639935,0.228,0.60673,36.43,"July 22, 21",0.0060673,,,,,
2021-07-21,36.5,36.73,35.96,36.23,33.59,5146400,5146400,-0.274,-0.73973,36.355,"July 21, 21",-0.0073973,,,,,
2021-07-20,36.39,36.89,35.6,36.73,34.05,7770615,7770615,0.336,0.93432,36.4025,"July 20, 21",0.0093432,,,,,
2021-07-19,35.92,36.52,34.2,36.19,33.55,16460495,16460495,0.268,0.75167,35.7075,"July 19, 21",0.0075167,,,,,
2021-07-16,37.84,38.34,37.72,37.8,35.05,5936295,5936295,-0.036,-0.10571,37.925,"July 16, 21",-0.0010571,,,,,
2021-07-15,37.4,38.55,37.3,37.79,35.04,7812385,7812385,0.394,1.04,37.76,"July 15, 21",0.0104,,,,,
2021-07-14,37.52,37.65,37.21,37.44,34.71,5028440,5028440,-0.076,-0.21322,37.455,"July 14, 21",-0.0021322,,,,,
2021-07-13,37.35,37.69,37.13,37.34,34.62,4146965,4146965,-0.008,-0.02677376,37.3775,"July 13, 21",-0.0002677376,,,,,
2021-07-12,37.31,37.48,36.89,37.36,34.64,4698510,4698510,0.044,0.13401,37.26,"July 12, 21",0.0013401,,,,,
2021-07-09,37.54,37.79,37.21,37.38,34.66,4205915,4205915,-0.158,-0.42621,37.48,"July 09, 21",-0.0042621,,,,,
2021-07-08,37.17,37.39,36.65,37.23,34.52,4578540,4578540,0.062,0.16142,37.11,"July 08, 21",0.0016142,,,,,
2021-07-07,37.28,37.76,37.17,37.52,34.79,4205260,4205260,0.244,0.64378,37.4325,"July 07, 21",0.0064378,,,,,
2021-07-06,37.58,37.69,36.8,37.28,34.56,4136770,4136770,-0.296,-0.7983,37.3375,"July 06, 21",-0.007983,,,,,
2021-07-02,37.54,37.68,37.29,37.55,34.81,2353605,2353605,0.018,0.02663825,37.515,"July 02, 21",0.0002663825,,,,,
2021-07-01,37.82,37.86,37.5,37.57,34.83,3223320,3223320,-0.25,-0.66103,37.6875,"July 01, 21",-0.0066103,,,,,
2021-06-30,37.36,37.6,37.13,37.21,34.5,3251915,3251915,-0.146,-0.4015,37.325,"June 30, 21",-0.004015,,,,,
2021-06-29,36.7,37.66,36.7,37.41,34.69,5246780,5246780,0.707,1.93,37.1175,"June 29, 21",0.0193,,,,,
2021-06-28,36.16,36.74,35.92,36.69,34.02,3856455,3856455,0.528,1.47,36.3775,"June 28, 21",0.0147,,,,,
2021-06-25,36.22,36.38,35.92,36.06,33.43,3900805,3900805,-0.162,-0.44174,36.145,"June 25, 21",-0.0044174,,,,,
2021-06-24,36.26,36.31,35.99,36.19,33.55,3107465,3107465,-0.07,-0.19305,36.1875,"June 24, 21",-0.0019305,,,,,
2021-06-23,35.91,36.09,35.69,35.9,33.29,3100395,3100395,-0.012,-0.0278474,35.8975,"June 23, 21",-0.000278474,,,,,
