date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,change,changeOverTime,changePercent,high,close,unadjustedVolume,adjClose,vwap,volume,low,open
2023-07-20,"July 20, 23",0.03,0.03,2023-07-21,2023-08-15,2023-06-23,-0.4,-0.0048632,-0.48632,83.15,81.85,3114114,81.55,82.2625,3114114,81.8,82.25
2023-07-19,"July 19, 23",,,,,,-1.03,-0.0124,-1.24,82.94,81.75,2781716,81.42,82.2825,2781716,81.66,82.78
2023-07-18,"July 18, 23",,,,,,1.36,0.0168,1.68,82.9,82.47,2844487,82.14,81.8075,2844487,80.75,81.11
2023-07-17,"July 17, 23",,,,,,-0.55,-0.0067287,-0.67287,82.36,81.19,2343200,80.86,81.5925,2343200,81.08,81.74
2023-07-14,"July 14, 23",,,,,,0.32,0.0039264,0.39264,82.16,81.82,1791900,81.49,81.6775,1791900,81.23,81.5
2023-07-13,"July 13, 23",,,,,,-0.33,-0.0040377,-0.40377,82,81.4,1476326,81.07,81.5075,1476326,80.9,81.73
2023-07-12,"July 12, 23",,,,,,0.4,0.0049207,0.49207,82.66,81.69,2124811,81.36,81.7325,2124811,81.29,81.29
2023-07-11,"July 11, 23",,,,,,0.76,0.009441,0.9441,81.44,81.26,1793345,80.93,80.8525,1793345,80.21,80.5
2023-07-10,"July 10, 23",,,,,,0.53,0.0066143,0.66143,80.78,80.66,2263244,80.33,80.3925,2263244,80,80.13
2023-07-07,"July 07, 23",,,,,,0.64,0.0081033,0.81033,80.11,79.62,2892672,79.3,79.2525,2892672,78.3,78.98
2023-07-06,"July 06, 23",,,,,,-0.88,-0.011,-1.1,80.27,79.12,2596154,78.8,79.5975,2596154,79,80
2023-07-05,"July 05, 23",,,,,,0.28,0.0034839,0.34839,81.29,80.65,2655900,80.32,80.5625,2655900,79.94,80.37
2023-07-03,"July 03, 23",,,,,,-0.72,-0.0088441,-0.88441,81.46,80.69,1086914,80.36,80.865,1086914,79.9,81.41
