date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,paymentDate,declarationDate,recordDate
2023-08-08,96.68,96.95,94.62,96.26,96.26,921600,921600,-0.42,-0.43442,95.94,"August 08, 23",-0.0043442,,,,,
2023-08-07,97.71,97.71,96.95,97.46,97.46,460000,460000,-0.25,-0.25586,97.37,"August 07, 23",-0.0025586,,,,,
2023-08-04,97.45,97.9,97,97.2,97.2,1378400,1378400,-0.25,-0.25654,97.37,"August 04, 23",-0.0025654,,,,,
2023-08-03,95.85,97.64,95.85,97.46,97.46,1414400,1414400,1.61,1.68,96.98,"August 03, 23",0.0168,,,,,
2023-08-02,96.97,97.54,96.28,96.96,96.96,1851200,1851200,-0.01,-0.01031247,96.93,"August 02, 23",-0.0001031247,,,,,
2023-08-01,96.94,97.73,96.75,97.5,97.5,1190000,1190000,0.56,0.57768,97.33,"August 01, 23",0.0057768,,,,,
2023-07-31,98.64,98.64,97.22,97.82,97.82,862800,862800,-0.82,-0.83131,97.89,"July 31, 23",-0.0083131,,,,,
2023-07-28,98.24,98.89,97.16,98.36,98.36,928000,928000,0.12,0.12215,98.14,"July 28, 23",0.0012215,,,,,
2023-07-27,97.94,97.94,96.99,97.16,97.16,1046800,1046800,-0.78,-0.79641,97.36,"July 27, 23",-0.0079641,,,,,
2023-07-26,96.4,97.38,95.73,97.37,97.37,644400,644400,0.97,1.01,96.82,"July 26, 23",0.0101,0.0075,0.03,2023-08-11,2023-07-12,2023-07-27
2023-07-25,96.69,97.31,96.09,96.58,96.55,1016400,1016400,-0.11,-0.11377,96.66,"July 25, 23",-0.0011377,,,,,
2023-07-24,96.98,97.03,95.91,96.74,96.71,790800,790800,-0.24,-0.24747,96.56,"July 24, 23",-0.0024747,,,,,
2023-07-21,97.96,98.15,96.88,96.9,96.87,1140800,1140800,-1.06,-1.08,97.31,"July 21, 23",-0.0108,,,,,
2023-07-20,98.85,99.46,97.81,97.96,97.93,792400,792400,-0.89,-0.90035,98.41,"July 20, 23",-0.0090035,,,,,
2023-07-19,98.11,99.26,97.24,98.71,98.68,1228000,1228000,0.6,0.61156,98.4,"July 19, 23",0.0061156,,,,,
2023-07-18,98.04,98.79,97.25,98.31,98.28,906800,906800,0.27,0.2754,98.12,"July 18, 23",0.002754,,,,,
2023-07-17,99.26,99.9,98.44,98.49,98.46,999600,999600,-0.77,-0.77574,98.94,"July 17, 23",-0.0077574,,,,,
2023-07-14,97.58,99.45,97.58,99.34,99.31,1160000,1160000,1.76,1.8,98.79,"July 14, 23",0.018,,,,,
2023-07-13,96.97,97.7,96.5,97.52,97.49,728800,728800,0.55,0.56719,97.24,"July 13, 23",0.0056719,,,,,
2023-07-12,96.32,97.18,95.85,96.84,96.81,795600,795600,0.52,0.53987,96.63,"July 12, 23",0.0053987,,,,,
2023-07-11,96.08,96.55,95.15,95.62,95.59,675600,675600,-0.46,-0.47877,95.77,"July 11, 23",-0.0047877,,,,,
2023-07-10,94.82,96.02,94.78,95.86,95.83,632800,632800,1.04,1.1,95.55,"July 10, 23",0.011,,,,,
2023-07-07,93.64,94.96,93.59,94.6,94.57,802000,802000,0.96,1.03,94.38,"July 07, 23",0.0103,,,,,
2023-07-06,93.54,94.76,93.25,93.95,93.92,1385600,1385600,0.41,0.43832,93.99,"July 06, 23",0.0043832,,,,,
2023-07-05,94.53,94.65,93.3,94.32,94.3,1228000,1228000,-0.21,-0.22215,94.09,"July 05, 23",-0.0022215,,,,,
2023-07-03,95.16,95.16,93.82,94.36,94.33,544400,544400,-0.8,-0.84069,94.45,"July 03, 23",-0.0084069,,,,,
2023-06-30,96,96.4,95,95.86,95.83,839200,839200,-0.14,-0.14583,95.75,"June 30, 23",-0.0014583,,,,,
2023-06-29,94.79,95.76,94.79,95,94.97,999200,999200,0.21,0.22154,95.18,"June 29, 23",0.0022154,,,,,
