date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,paymentDate,dividend
2023-09-25,31.18,31.45,30.94,31.43,29.94,2969527,2969527,0.25,0.8018,31.25,"September 25, 23",0.008018,,,,,
2023-09-22,31.78,31.83,31.24,31.38,29.9,3115856,3115856,-0.4,-1.26,31.5575,"September 22, 23",-0.0126,,,,,
2023-09-21,31.93,32.16,31.77,31.81,30.31,2702912,2702912,-0.12,-0.37582,31.9175,"September 21, 23",-0.0037582,,,,,
2023-09-20,32.59,32.78,32.11,32.16,30.64,2256567,2256567,-0.43,-1.32,32.41,"September 20, 23",-0.0132,,,,,
2023-09-19,32.22,32.51,32.09,32.37,30.84,2456343,2456343,0.15,0.46555,32.2975,"September 19, 23",0.0046555,,,,,
2023-09-18,32.42,32.45,31.8,32.14,30.62,4113400,4113400,-0.28,-0.86366,32.2025,"September 18, 23",-0.0086366,,,,,
2023-09-15,32.07,32.8,32,32.52,30.98,7096400,7096400,0.45,1.4,32.3475,"September 15, 23",0.014,,,,,
2023-09-14,32.2,32.44,32.01,32.29,30.76,3347446,3347446,0.09,0.2795,32.235,"September 14, 23",0.002795,,,,,
2023-09-13,32.51,32.53,31.45,31.8,30.3,3904600,3904600,-0.71,-2.18,32.0725,"September 13, 23",-0.0218,,,,,
2023-09-12,31.7,32.7,31.6,32.28,30.75,4026700,4026700,0.58,1.83,32.07,"September 12, 23",0.0183,,,,,
2023-09-11,31.56,32.03,31.53,31.7,30.2,2601961,2601961,0.14,0.4436,31.705,"September 11, 23",0.004436,,,,,
2023-09-08,30.94,31.33,30.75,31.28,29.8,2703200,2703200,0.34,1.1,31.075,"September 08, 23",0.011,,,,,
2023-09-07,31.37,31.57,30.67,30.92,29.46,7089400,7089400,-0.45,-1.43,31.1325,"September 07, 23",-0.0143,,,,,
2023-09-06,31.59,31.89,31.22,31.73,30.23,2997600,2997600,0.14,0.44318,31.6075,"September 06, 23",0.0044318,,,,,
2023-09-05,32.11,32.44,31.78,31.8,30.3,4011619,4011619,-0.31,-0.96543,32.0325,"September 05, 23",-0.0096543,,,,,
