date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,dividend,paymentDate,declarationDate
2021-12-28,562.51,565.58,550.11,561.21,533,264635,264635,-1.3,-0.23111,559.8525,"December 28, 21",-0.0023111,,,,,
2021-12-27,553,561.51,547.96,560.91,532.71,327918,327918,7.91,1.43,555.845,"December 27, 21",0.0143,,,,,
2021-12-23,546.49,558.15,546.49,549.65,522.02,246605,246605,3.16,0.57824,550.195,"December 23, 21",0.0057824,,,,,
2021-12-22,543.8,549.59,539.04,549.13,521.53,221235,221235,5.33,0.98014,545.39,"December 22, 21",0.0098014,,,,,
2021-12-21,543.74,547.21,529.87,541.46,514.24,404342,404342,-2.28,-0.41932,540.57,"December 21, 21",-0.0041932,,,,,
2021-12-20,536.16,540.68,522.46,538.27,511.21,440800,440800,2.11,0.39354,534.3925,"December 20, 21",0.0039354,,,,,
2021-12-17,551.63,553.32,536.25,540.64,513.46,604939,604939,-10.99,-1.99,545.46,"December 17, 21",-0.0199,,,,,
2021-12-16,570.11,571.45,542.02,551.56,523.83,348102,348102,-18.55,-3.25,558.785,"December 16, 21",-0.0325,,,,,
2021-12-15,559.08,568.41,550.59,567.55,539.02,424315,424315,8.47,1.51,561.4075,"December 15, 21",0.0151,,,,,
2021-12-14,556.98,561.4,553,558.7,530.61,287350,287350,1.72,0.30881,557.52,"December 14, 21",0.0030881,,,,,
2021-12-13,561.77,566.16,556.04,562.2,533.94,209200,209200,0.43,0.07654378,561.5425,"December 13, 21",0.0007654378,,,,,
2021-12-10,552.96,567.75,552.59,562.67,534.38,205038,205038,9.71,1.76,558.9925,"December 10, 21",0.0176,,,,,
2021-12-09,564.77,566.06,547.64,549.39,521.77,166000,166000,-15.38,-2.72,556.965,"December 09, 21",-0.0272,,,,,
2021-12-08,563.5,566.04,552.53,564.77,536.38,158300,158300,1.27,0.22538,561.71,"December 08, 21",0.0022538,,,,,
2021-12-07,555.15,564.17,550.88,563.17,534.86,219100,219100,8.02,1.44,558.3425,"December 07, 21",0.0144,,,,,
2021-12-06,549.02,549.63,537.5,547.95,520.4,229125,229125,-1.07,-0.19489,546.025,"December 06, 21",-0.0019489,,,,,
2021-12-03,557.73,557.73,538.41,544.84,517.45,213949,213949,-12.89,-2.31,549.6775,"December 03, 21",-0.0231,,,,,
2021-12-02,553.18,559.95,550.99,556.7,528.71,204636,204636,3.52,0.63632,555.205,"December 02, 21",0.0063632,,,,,
2021-12-01,560.01,572.76,551.64,552.22,524.46,313608,313608,-7.79,-1.39,559.1575,"December 01, 21",-0.0139,,,,,
2021-11-30,556.98,562.33,545.96,554.12,526.26,487006,487006,-2.86,-0.51348,554.8475,"November 30, 21",-0.0051348,,,,,
2021-11-29,564.38,569.57,555.97,560.1,531.94,180800,180800,-4.28,-0.75835,562.505,"November 29, 21",-0.0075835,,,,,
2021-11-26,566.38,570,557.39,559.19,531.08,88900,88900,-7.19,-1.27,563.24,"November 26, 21",-0.0127,,,,,
2021-11-24,559.26,570.13,557.87,568.46,539.88,129217,129217,9.2,1.65,563.93,"November 24, 21",0.0165,,,,,
2021-11-23,557.31,563.21,554.41,561.57,533.34,200425,200425,4.26,0.76439,559.125,"November 23, 21",0.0076439,,,,,
2021-11-22,577,579.13,557.54,559.22,531.11,238331,238331,-17.78,-3.08,568.2225,"November 22, 21",-0.0308,,,,,
2021-11-19,581.82,582.27,576.38,577,547.99,203200,203200,-4.82,-0.82843,579.3675,"November 19, 21",-0.0082843,,,,,
2021-11-18,573.91,580.02,573,577.85,548.8,164000,164000,3.94,0.68652,576.195,"November 18, 21",0.0068652,,,,,
2021-11-17,575.37,578.93,567.24,573,544.2,190011,190011,-2.37,-0.41191,573.635,"November 17, 21",-0.0041191,,,,,
2021-11-16,568.27,581.75,568.27,573.73,544.89,279341,279341,5.46,0.96081,573.005,"November 16, 21",0.0096081,,,,,
2021-11-15,568.68,577.66,567.51,569.88,541.23,211933,211933,1.2,0.21101,570.9325,"November 15, 21",0.0021101,,,,,
2021-11-12,555.17,572.31,550.64,571.28,542.56,270200,270200,16.11,2.9,562.35,"November 12, 21",0.029,,,,,
2021-11-11,532.73,554.89,532.73,553.92,526.07,399229,399229,21.19,3.98,543.5675,"November 11, 21",0.0398,,,,,
2021-11-10,524.34,529.09,519.57,526.52,500.05,246348,246348,2.18,0.41576,524.88,"November 10, 21",0.0041576,,,,,
2021-11-09,519.96,528.18,515.89,526.31,499.85,199936,199936,6.35,1.22,522.585,"November 09, 21",0.0122,2021-11-11,0.8,0.8,2021-11-24,2021-10-28
2021-11-08,521.63,521.63,515.04,520.58,493.65,167900,167900,-1.05,-0.20129,519.72,"November 08, 21",-0.0020129,,,,,
2021-11-05,524.15,528.75,516.81,517.97,491.18,175331,175331,-6.18,-1.18,521.92,"November 05, 21",-0.0118,,,,,
2021-11-04,519.98,524.27,518.09,522.17,495.16,155500,155500,2.19,0.42117,521.1275,"November 04, 21",0.0042117,,,,,
2021-11-03,516.94,519,509.23,516.43,489.72,236300,236300,-0.51,-0.09865748,515.4,"November 03, 21",-0.0009865748,,,,,
2021-11-02,517.89,521.51,512.15,515.41,488.75,235600,235600,-2.48,-0.47887,516.74,"November 02, 21",-0.0047887,,,,,
2021-11-01,516.01,520.11,510.06,514.95,488.31,212120,212120,-1.06,-0.20542,515.2825,"November 01, 21",-0.0020542,,,,,
2021-10-29,505.2,519.01,505.2,515.16,488.51,206921,206921,9.96,1.97,511.1425,"October 29, 21",0.0197,,,,,
2021-10-28,501,514.12,501,506.64,480.43,162600,162600,5.64,1.13,505.69,"October 28, 21",0.0113,,,,,
2021-10-27,503.33,508.93,499.06,499.78,473.93,150700,150700,-3.55,-0.7053,502.775,"October 27, 21",-0.007053,,,,,
2021-10-26,509.86,510.27,499.25,503.62,477.57,227200,227200,-6.24,-1.22,505.75,"October 26, 21",-0.0122,,,,,
2021-10-25,503.23,517.02,502.12,508.62,482.31,182500,182500,5.39,1.07,507.7475,"October 25, 21",0.0107,,,,,
2021-10-22,501.3,514.96,497.42,503.08,477.06,317503,317503,1.78,0.35508,504.19,"October 22, 21",0.0035508,,,,,
2021-10-21,462.6,500.21,461.51,499.33,473.5,393000,393000,36.73,7.94,480.9125,"October 21, 21",0.0794,,,,,
2021-10-20,467.45,469.42,460.91,463.84,439.85,200700,200700,-3.61,-0.77228,465.405,"October 20, 21",-0.0077228,,,,,
2021-10-19,463.99,467.38,460.47,464.51,440.48,148234,148234,0.52,0.11207,464.0875,"October 19, 21",0.0011207,,,,,
2021-10-18,451,461.04,450.02,460.46,436.64,168139,168139,9.46,2.1,455.63,"October 18, 21",0.021,,,,,
2021-10-15,453.69,460.21,452.16,453.22,429.77,182240,182240,-0.47,-0.10359,454.82,"October 15, 21",-0.0010359,,,,,
2021-10-14,441.93,453.28,439.22,452.87,429.44,254449,254449,10.94,2.48,446.825,"October 14, 21",0.0248,,,,,
2021-10-13,443.23,446.57,439.35,440.37,417.59,180024,180024,-2.86,-0.64526,442.38,"October 13, 21",-0.0064526,,,,,
2021-10-12,449.02,451.1,439.24,440.86,418.05,198900,198900,-8.16,-1.82,445.055,"October 12, 21",-0.0182,,,,,
2021-10-11,446.99,452.06,445.07,445.52,422.47,97530,97530,-1.47,-0.32887,447.41,"October 11, 21",-0.0032887,,,,,
2021-10-08,453.64,456.64,444.77,446.53,423.43,139500,139500,-7.11,-1.57,450.395,"October 08, 21",-0.0157,,,,,
2021-10-07,446.09,456.53,443.83,452.54,429.13,251000,251000,6.45,1.45,449.7475,"October 07, 21",0.0145,,,,,
2021-10-06,439.75,444.05,436.39,440.95,418.14,222500,222500,1.2,0.27288,440.285,"October 06, 21",0.0027288,,,,,
2021-10-05,438.56,445.57,436.98,440.41,417.63,281705,281705,1.85,0.42184,440.38,"October 05, 21",0.0042184,,,,,
2021-10-04,436.93,438.95,427.18,435.92,413.37,354009,354009,-1.01,-0.23116,434.745,"October 04, 21",-0.0023116,,,,,
2021-10-01,434.41,440.33,425.7,437.4,414.77,259100,259100,2.99,0.68829,434.46,"October 01, 21",0.0068829,,,,,
2021-09-30,448.84,449.95,433.73,434.41,411.94,321961,321961,-14.43,-3.21,441.7325,"September 30, 21",-0.0321,,,,,
2021-09-29,445.83,449.68,444.84,446.83,423.72,157139,157139,1,0.2243,446.795,"September 29, 21",0.002243,,,,,
2021-09-28,452.01,452.01,439.2,444.08,421.11,202344,202344,-7.93,-1.75,446.825,"September 28, 21",-0.0175,,,,,
2021-09-27,463.91,464.47,446.75,455.76,432.18,238946,238946,-8.15,-1.76,457.7225,"September 27, 21",-0.0176,,,,,
2021-09-24,466.07,466.7,463.02,465.49,441.41,157709,157709,-0.58,-0.12444,465.32,"September 24, 21",-0.0012444,,,,,
2021-09-23,455.17,469,455.06,466.37,442.24,220726,220726,11.2,2.46,461.4,"September 23, 21",0.0246,,,,,
2021-09-22,462.16,465.84,455,456,432.41,226449,226449,-6.16,-1.33,459.75,"September 22, 21",-0.0133,,,,,
2021-09-21,466.07,466.75,456.61,459.73,435.95,254400,254400,-6.34,-1.36,462.29,"September 21, 21",-0.0136,,,,,
2021-09-20,458.97,465.35,452.41,462.52,438.59,196700,196700,3.55,0.77347,459.8125,"September 20, 21",0.0077347,,,,,
2021-09-17,469.1,471.35,461.89,464.04,440.04,372320,372320,-5.06,-1.08,466.595,"September 17, 21",-0.0108,,,,,
2021-09-16,478.81,478.81,464.21,470.69,446.34,249100,249100,-8.12,-1.7,473.13,"September 16, 21",-0.017,,,,,
2021-09-15,473.27,480.79,471.37,477.15,452.47,214100,214100,3.88,0.81983,475.645,"September 15, 21",0.0081983,,,,,
2021-09-14,482.03,484.43,470.8,474.68,450.12,218635,218635,-7.35,-1.52,477.985,"September 14, 21",-0.0152,,,,,
2021-09-13,495.56,495.83,475.46,478.92,454.15,291238,291238,-16.64,-3.36,486.4425,"September 13, 21",-0.0336,,,,,
2021-09-10,491.66,498.77,491.27,493.43,467.9,198620,198620,1.77,0.36,493.7825,"September 10, 21",0.0036,,,,,
2021-09-09,496.22,496.22,485.55,491.64,466.21,232600,232600,-4.58,-0.92298,492.4075,"September 09, 21",-0.0092298,,,,,
2021-09-08,490.31,500.85,487.04,497.39,471.66,161500,161500,7.08,1.44,493.8975,"September 08, 21",0.0144,,,,,
2021-09-07,497.55,497.66,489.88,491.05,465.65,131310,131310,-6.5,-1.31,494.035,"September 07, 21",-0.0131,,,,,
2021-09-03,496.07,498.33,488.92,496.89,471.19,113500,113500,0.82,0.1653,495.0525,"September 03, 21",0.001653,,,,,
2021-09-02,494.47,498.95,491.89,497.26,471.54,164900,164900,2.79,0.56424,495.6425,"September 02, 21",0.0056424,,,,,
2021-09-01,494.3,494.3,480.49,491.23,465.82,211101,211101,-3.07,-0.62108,490.08,"September 01, 21",-0.0062108,,,,,
2021-08-31,491.75,496.51,486.95,494.3,468.73,329803,329803,2.55,0.51856,492.3775,"August 31, 21",0.0051856,,,,,
2021-08-30,482.39,493.71,482.04,491.43,466.01,156794,156794,9.04,1.87,487.3925,"August 30, 21",0.0187,,,,,
2021-08-27,477.33,482.68,473.81,480.91,456.03,146037,146037,3.58,0.75001,478.6825,"August 27, 21",0.0075001,,,,,
2021-08-26,484.78,484.78,476.6,477.47,452.77,147025,147025,-7.31,-1.51,480.9075,"August 26, 21",-0.0151,,,,,
2021-08-25,478.96,486.66,478.21,485.02,459.93,117346,117346,6.06,1.27,482.2125,"August 25, 21",0.0127,,,,,
2021-08-24,476.67,477.95,472.39,477.59,452.88,221021,221021,0.92,0.19301,476.15,"August 24, 21",0.0019301,,,,,
2021-08-23,486.84,486.84,474.82,474.9,450.33,203852,203852,-11.94,-2.45,480.85,"August 23, 21",-0.0245,,,,,
2021-08-20,486.03,491.75,484.23,486.43,461.27,204049,204049,0.4,0.08229945,487.11,"August 20, 21",0.0008229945,,,,,
2021-08-19,475.55,487.63,472.96,484.37,459.31,188441,188441,8.82,1.85,480.1275,"August 19, 21",0.0185,,,,,
2021-08-18,479.99,485.43,474.39,476.64,451.98,179112,179112,-3.35,-0.69793,479.1125,"August 18, 21",-0.0069793,,,,,
2021-08-17,488.34,488.63,477.93,479.99,455.16,306136,306136,-8.35,-1.71,483.7225,"August 17, 21",-0.0171,,,,,
2021-08-16,483.79,493.91,479.19,493.4,467.88,180356,180356,9.61,1.99,487.5725,"August 16, 21",0.0199,,,,,
2021-08-13,483.81,486.77,482.83,485.21,460.11,96922,96922,1.4,0.28937,484.655,"August 13, 21",0.0028937,,,,,
