symbol,date,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
EVRG,2025-09-22,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-19,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-18,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-17,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-16,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-15,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-12,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-11,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-10,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-09,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-08,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-05,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-09-04,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-09-03,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-09-02,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-08-29,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-08-28,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-08-27,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-08-26,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-08-25,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-08-22,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-21,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-20,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-19,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-18,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-15,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-14,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-13,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-12,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-11,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-08,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-07,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-08-06,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-08-05,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-08-04,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-08-01,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-31,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-30,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-29,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-28,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-25,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-24,B-,3,Neutral,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-23,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-22,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-21,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-18,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-17,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-16,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-15,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-14,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-11,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-10,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-09,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-08,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,2,Sell,3,Neutral,3,Neutral
EVRG,2025-07-07,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,1,Strong Sell,3,Neutral,4,Buy
EVRG,2025-07-03,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,1,Strong Sell,3,Neutral,4,Buy
EVRG,2025-07-02,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,1,Strong Sell,3,Neutral,4,Buy
EVRG,2025-07-01,B,3,Neutral,1,Strong Sell,4,Buy,3,Neutral,1,Strong Sell,3,Neutral,4,Buy
EVRG,2025-06-30,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-06-27,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-06-26,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-06-25,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-06-24,B-,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,3,Neutral
EVRG,2025-06-23,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
EVRG,2025-06-20,C+,2,Sell,1,Strong Sell,3,Neutral,3,Neutral,2,Sell,2,Sell,2,Sell
