date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,dividend,adjDividend,paymentDate,recordDate
2025-03-07,69.47,69.64,67.82,69.3,67.11,5948382,5948382,-0.17,-0.24471,69.0575,"March 07, 25",-0.0024471,,,,,
2025-03-06,71.5,71.9,69.06,69.62,67.42,5728400,5728400,-1.88,-2.63,70.52,"March 06, 25",-0.0263,,,,,
2025-03-05,70.75,72.14,69.33,71.9,69.62,6661100,6661100,1.15,1.63,71.03,"March 05, 25",0.0163,,,,,
2025-03-04,71.35,71.61,70.08,70.63,68.39,6252540,6252540,-0.72,-1.01,70.9175,"March 04, 25",-0.0101,,,,,
2025-03-03,71.01,72.58,70.79,71.44,69.18,4650000,4650000,0.43,0.60555,71.455,"March 03, 25",0.0060555,,,,,
2025-02-28,72.63,73.04,70.57,71.57,69.3,8874400,8874400,-1.06,-1.46,71.9525,"February 28, 25",-0.0146,,,,,
2025-02-27,72.45,73.16,71.68,71.9,69.62,12176641,12176641,-0.547,-0.75914,72.2975,"February 27, 25",-0.0075914,,,,,
2025-02-26,70.03,74.25,68.19,72.85,70.54,15587500,15587500,2.82,4.03,71.33,"February 26, 25",0.0403,,,,,
2025-02-25,72.38,73.44,64.89,70.64,68.4,29513700,29513700,-1.74,-2.4,70.3375,"February 25, 25",-0.024,,,,,
2025-02-24,87.21,87.6,86.72,87.18,84.42,4392496,4392496,-0.03,-0.03439972,87.1775,"February 24, 25",-0.0003439972,,,,,
2025-02-21,85.75,87.51,85.58,87.1,84.34,4644517,4644517,1.35,1.57,86.485,"February 21, 25",0.0157,,,,,
2025-02-20,85.1,86.33,84.17,86.01,83.29,2293647,2293647,0.91,1.07,85.4025,"February 20, 25",0.0107,,,,,
2025-02-19,84.5,85.62,84.5,85.34,82.64,3154951,3154951,0.84,0.99408,84.99,"February 19, 25",0.0099408,,,,,
2025-02-18,84.32,85.15,84.1,84.62,81.94,3530063,3530063,0.3,0.35579,84.5475,"February 18, 25",0.0035579,,,,,
2025-02-14,84.17,85.07,83.85,84.1,81.44,3603507,3603507,-0.07,-0.08316502,84.2975,"February 14, 25",-0.0008316502,,,,,
2025-02-13,82.95,84.05,82.6,83.86,81.21,2891363,2891363,0.91,1.1,83.365,"February 13, 25",0.011,,,,,
2025-02-12,82.03,83.16,82.01,82.93,80.31,3360931,3360931,0.9,1.1,82.5325,"February 12, 25",0.011,,,,,
2025-02-11,82.25,83.79,81.63,83.43,80.79,3019500,3019500,1.18,1.43,82.775,"February 11, 25",0.0143,,,,,
2025-02-10,81.96,82.79,81.23,82.21,79.61,3660006,3660006,0.25,0.30503,82.0475,"February 10, 25",0.0030503,,,,,
2025-02-07,82.04,82.45,81.39,81.98,79.39,2390637,2390637,-0.06,-0.07313506,81.965,"February 07, 25",-0.0007313506,,,,,
2025-02-06,82.83,83,81.76,82.08,79.48,2400377,2400377,-0.75,-0.90547,82.4175,"February 06, 25",-0.0090547,,,,,
2025-02-05,82.16,82.57,81.5,82.3,79.7,2708367,2708367,0.14,0.1704,82.1325,"February 05, 25",0.001704,,,,,
2025-02-04,82.26,83.57,81.3,81.43,78.85,3756300,3756300,-0.83,-1.01,82.14,"February 04, 25",-0.0101,,,,,
2025-02-03,81.74,82.71,81.12,82.59,79.98,2589400,2589400,0.85,1.04,82.04,"February 03, 25",0.0104,,,,,
2025-01-31,83.3,83.93,82.61,82.93,80.31,2678900,2678900,-0.37,-0.44418,83.1925,"January 31, 25",-0.0044418,,,,,
2025-01-30,82.79,83.47,82.42,83.29,80.65,2192000,2192000,0.5,0.60394,82.9925,"January 30, 25",0.0060394,,,,,
2025-01-29,81.83,83,81.83,81.98,79.39,2700000,2700000,0.15,0.18331,82.16,"January 29, 25",0.0018331,,,,,
2025-01-28,82.24,82.31,81,81.75,79.16,4461875,4461875,-0.49,-0.59582,81.825,"January 28, 25",-0.0059582,,,,,
2025-01-27,82.56,83.02,80.23,82.15,79.55,6813249,6813249,-0.41,-0.49661,81.99,"January 27, 25",-0.0049661,,,,,
2025-01-24,82.26,83.31,82.26,82.71,80.09,3683600,3683600,0.45,0.54705,82.635,"January 24, 25",0.0054705,,,,,
2025-01-23,82.95,83.53,82.52,82.81,80.19,4586000,4586000,-0.14,-0.16878,82.9525,"January 23, 25",-0.0016878,,,,,
2025-01-22,86.02,86.25,82.65,82.8,80.18,4423419,4423419,-3.22,-3.74,84.43,"January 22, 25",-0.0374,,,,,
2025-01-21,85.85,87.12,85.44,86.51,83.77,5333442,5333442,0.66,0.76878,86.23,"January 21, 25",0.0076878,,,,,
2025-01-17,84.19,85.33,83.72,85.18,82.48,3628921,3628921,0.99,1.18,84.605,"January 17, 25",0.0118,,,,,
2025-01-16,82.29,84.13,82.02,83.99,81.33,7815651,7815651,1.7,2.07,83.1075,"January 16, 25",0.0207,,,,,
2025-01-15,79.42,83.19,79.32,82.42,79.81,10263104,10263104,3,3.78,81.0875,"January 15, 25",0.0378,,,,,
2025-01-14,77.7,79.22,77.19,78.11,75.64,6083714,6083714,0.41,0.52767,78.055,"January 14, 25",0.0052767,,,,,
2025-01-13,78.93,79.1,76.72,76.94,74.5,9327836,9327836,-1.99,-2.52,77.9225,"January 13, 25",-0.0252,,,,,
2025-01-10,81.86,82.46,78.6,78.73,76.24,8191038,8191038,-3.13,-3.82,80.4125,"January 10, 25",-0.0382,,,,,
2025-01-08,84.19,84.41,81.29,82.82,80.2,6214481,6214481,-1.37,-1.63,83.1775,"January 08, 25",-0.0163,,,,,
2025-01-07,84.79,85.2,84.06,84.23,81.56,4262232,4262232,-0.56,-0.66046,84.57,"January 07, 25",-0.0066046,,,,,
2025-01-06,87.32,87.38,84.2,84.51,81.84,3075150,3075150,-2.81,-3.22,85.8525,"January 06, 25",-0.0322,,,,,
2025-01-03,87.42,87.95,86.85,87.67,84.9,2838111,2838111,0.25,0.28598,87.4725,"January 03, 25",0.0028598,,,,,
2025-01-02,88.31,88.65,86.8,87.13,84.37,2330638,2330638,-1.18,-1.34,87.7225,"January 02, 25",-0.0134,,,,,
2024-12-31,87.28,88.02,87.25,87.72,84.94,1827300,1827300,0.44,0.50412,87.5675,"December 31, 24",0.0050412,,,,,
2024-12-30,87.2,87.64,86.32,87.35,84.59,4381345,4381345,0.15,0.17202,87.1275,"December 30, 24",0.0017202,,,,,
2024-12-27,87,88.16,87,87.77,84.99,1791233,1791233,0.77,0.88506,87.4825,"December 27, 24",0.0088506,,,,,
2024-12-26,87.51,87.74,87,87.61,84.84,7243985,7243985,0.1,0.11427,87.465,"December 26, 24",0.0011427,,,,,
2024-12-24,86.96,87.97,86.67,87.96,85.18,795600,795600,1,1.15,87.39,"December 24, 24",0.0115,,,,,
2024-12-23,86.65,87.07,85.81,87.04,84.29,2789532,2789532,0.39,0.45009,86.6425,"December 23, 24",0.0045009,,,,,
2024-12-20,85.34,87.23,85.34,86.81,84.06,4747470,4747470,1.47,1.72,86.18,"December 20, 24",0.0172,,,,,
2024-12-19,85.33,86.68,85.1,85.9,83.18,3532836,3532836,0.57,0.66799,85.7525,"December 19, 24",0.0066799,,,,,
2024-12-18,87.01,87.94,85.06,85.09,82.4,3344600,3344600,-1.92,-2.21,86.275,"December 18, 24",-0.0221,,,,,
2024-12-17,87.58,88.58,86.36,86.96,84.21,4188860,4188860,-0.615,-0.70792,87.37,"December 17, 24",-0.0070792,,,,,
2024-12-16,89.11,89.77,88.62,88.63,85.82,2881654,2881654,-0.48,-0.53866,89.0325,"December 16, 24",-0.0053866,,,,,
2024-12-13,89.01,89.79,88.81,89.16,86.34,2766700,2766700,0.15,0.16852,89.1925,"December 13, 24",0.0016852,,,,,
2024-12-12,87.97,88.5,87.4,87.93,85.15,4254744,4254744,-0.04,-0.04547005,87.95,"December 12, 24",-0.0004547005,,,,,
2024-12-11,88.63,88.81,87.1,87.41,84.64,3996923,3996923,-1.22,-1.38,87.9875,"December 11, 24",-0.0138,,,,,
2024-12-10,88.89,89.43,87.78,88.55,85.75,2415527,2415527,-0.34,-0.3825,88.6625,"December 10, 24",-0.003825,,,,,
2024-12-09,89.42,89.68,88.69,88.78,85.97,3015600,3015600,-0.64,-0.71572,89.1425,"December 09, 24",-0.0071572,,,,,
2024-12-06,91.11,91.25,89.29,89.6,86.76,3265242,3265242,-1.51,-1.66,90.3125,"December 06, 24",-0.0166,,,,,
2024-12-05,91.24,91.8,90.83,90.94,88.06,3910539,3910539,-0.3,-0.3288,91.2025,"December 05, 24",-0.003288,2024-11-07,0.62,0.62,2025-01-15,2024-12-05
2024-12-04,91.86,92.05,91.09,91.5,88,3415549,3415549,-0.36,-0.3919,91.625,"December 04, 24",-0.003919,,,,,
2024-12-03,92.9,93.58,91.99,92.01,88.49,4018300,4018300,-0.89,-0.95802,92.62,"December 03, 24",-0.0095802,,,,,
2024-12-02,94.15,94.15,91.68,92.1,88.58,3199540,3199540,-2.05,-2.18,93.02,"December 02, 24",-0.0218,,,,,
2024-11-29,94.52,94.92,93.67,93.67,90.09,1762848,1762848,-0.85,-0.89928,94.195,"November 29, 24",-0.0089928,,,,,
2024-11-27,93.78,94.83,93.35,94.28,90.67,2871827,2871827,0.5,0.53316,94.06,"November 27, 24",0.0053316,,,,,
2024-11-26,94.69,94.69,92.88,93.29,89.72,5602096,5602096,-1.4,-1.48,93.8875,"November 26, 24",-0.0148,,,,,
2024-11-25,95.56,95.77,94.34,94.77,91.15,4978057,4978057,-0.79,-0.82671,95.11,"November 25, 24",-0.0082671,,,,,
2024-11-22,94.99,95.29,94.15,94.27,90.66,2554420,2554420,-0.72,-0.75797,94.675,"November 22, 24",-0.0075797,,,,,
2024-11-21,92.91,94.86,92.46,94.69,91.07,2541423,2541423,1.78,1.92,93.73,"November 21, 24",0.0192,,,,,
2024-11-20,93.73,93.9,92.49,93.12,89.56,2311700,2311700,-0.61,-0.65081,93.31,"November 20, 24",-0.0065081,,,,,
2024-11-19,92.16,93.44,91.72,93.38,89.81,2901800,2901800,1.22,1.32,92.675,"November 19, 24",0.0132,,,,,
2024-11-18,91.85,93.21,91.72,92.92,89.37,2466839,2466839,1.07,1.16,92.425,"November 18, 24",0.0116,,,,,
2024-11-15,90.44,92.28,90.25,92.19,88.66,3050146,3050146,1.75,1.93,91.29,"November 15, 24",0.0193,,,,,
2024-11-14,92,92.12,90.43,90.44,86.98,3247548,3247548,-1.56,-1.7,91.2475,"November 14, 24",-0.017,,,,,
2024-11-13,92.44,93.12,91.26,92.19,88.66,3745225,3745225,-0.25,-0.27045,92.2525,"November 13, 24",-0.0027045,,,,,
2024-11-12,92.27,92.49,91.48,92.2,88.67,3403025,3403025,-0.07,-0.07586431,92.11,"November 12, 24",-0.0007586431,,,,,
2024-11-11,90.52,92.66,90.52,92.12,88.6,2690304,2690304,1.6,1.77,91.455,"November 11, 24",0.0177,,,,,
2024-11-08,89.68,91.88,89.48,91.25,87.76,3733600,3733600,1.57,1.75,90.5725,"November 08, 24",0.0175,,,,,
2024-11-07,88.25,90.16,88.05,89.76,86.33,5243500,5243500,1.51,1.71,89.055,"November 07, 24",0.0171,,,,,
2024-11-06,81.5,88.59,80.87,88.26,84.88,7768841,7768841,6.76,8.29,84.805,"November 06, 24",0.0829,,,,,
2024-11-05,80.8,82.27,80.22,82.25,79.1,4274200,4274200,1.45,1.79,81.385,"November 05, 24",0.0179,,,,,
2024-11-04,81.55,81.94,80.11,80.81,77.72,3379900,3379900,-0.74,-0.90742,81.1025,"November 04, 24",-0.0090742,,,,,
2024-11-01,83.74,83.93,81.54,81.65,78.53,2789600,2789600,-2.09,-2.5,82.715,"November 01, 24",-0.025,,,,,
2024-10-31,83.37,84.39,83.2,83.37,80.18,2236400,2236400,0,0,83.5825,"October 31, 24",0,,,,,
2024-10-30,83.86,84.08,82.65,83.55,80.35,2196732,2196732,-0.31,-0.36966,83.535,"October 30, 24",-0.0036966,,,,,
2024-10-29,84.54,84.54,83.45,83.55,80.35,2459724,2459724,-0.99,-1.17,84.02,"October 29, 24",-0.0117,,,,,
2024-10-28,84.9,85.6,84.73,85.17,81.91,1924426,1924426,0.27,0.31802,85.1,"October 28, 24",0.0031802,,,,,
