date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,recordDate,adjDividend
2023-10-05,5940,6008.22,5924.25,5951.68,5951.68,18922,18900,11.68,0.19663,5960.11,"October 05, 23",0.0019663,,,,,
2023-10-04,5865.33,5965.74,5832.04,5939.54,5939.54,23125,23100,74.21,1.27,5923.32,"October 04, 23",0.0127,,,,,
2023-10-03,5939,5965.475,5842,5856.63,5856.63,26526,26500,-82.37,-1.39,5870.1,"October 03, 23",-0.0139,,,,,
2023-10-02,5915,6058.05,5912.05,5960.95,5960.95,20921,20900,45.95,0.77684,5973.94,"October 02, 23",0.0077684,,,,,
2023-09-29,6120.5,6137.805,5940.02,5963.3,5963.3,21743,21700,-157.2,-2.57,6006.26,"September 29, 23",-0.0257,,,,,
2023-09-28,5951,6065.28,5940.91,6061.92,6061.92,17124,17100,110.92,1.86,6038.88,"September 28, 23",0.0186,,,,,
2023-09-27,5940.01,6010.67,5922.475,5941,5941,16703,16700,0.99,0.01666664,5956.84,"September 27, 23",0.0001666664,,,,,
2023-09-26,5939.64,6000,5880.8,5890.56,5890.56,18111,18100,-49.08,-0.82631,5924.42,"September 26, 23",-0.0082631,,,,,
2023-09-25,5948,6043.95,5939.1,5965.09,5965.09,16389,16400,17.09,0.28732,5986.26,"September 25, 23",0.0028732,,,,,
2023-09-22,5928,5991.68,5906.97,5962.59,5962.59,17502,17500,34.59,0.5835,5957.97,"September 22, 23",0.005835,,,,,
2023-09-21,6059.65,6059.65,5848.58,5888.47,5888.47,25365,25400,-171.18,-2.82,5913.33,"September 21, 23",-0.0282,,,,,
2023-09-20,6221,6289.09,6127.85,6132.13,6132.13,18208,18200,-88.87,-1.43,6199.33,"September 20, 23",-0.0143,,,,,
2023-09-19,6133.72,6190.33,6086.035,6182.87,6182.87,15246,15200,49.15,0.80131,6150.51,"September 19, 23",0.0080131,,,,,
2023-09-18,6097.97,6187.73,6090.14,6126.91,6126.91,17407,17400,28.94,0.47458,6140.87,"September 18, 23",0.0047458,,,,,
2023-09-15,6200,6200,5993.79,6076.59,6076.59,78466,78500,-123.41,-1.99,6074.88,"September 15, 23",-0.0199,,,,,
2023-09-14,6155.99,6221.2,6091,6201.25,6201.25,20254,20300,45.26,0.73522,6193.51,"September 14, 23",0.0073522,,,,,
2023-09-13,6180.38,6220,6032.095,6098.86,6098.86,28307,28300,-81.52,-1.32,6108.66,"September 13, 23",-0.0132,,,,,
2023-09-12,6348.91,6424.56,6163.81,6168.97,6168.97,22015,22000,-179.94,-2.83,6248.45,"September 12, 23",-0.0283,,,,,
2023-09-11,6350.01,6439.9,6320,6353.5,6353.5,18317,18300,3.49,0.05496054,6384.46,"September 11, 23",0.0005496054,,,,,
2023-09-08,6390,6470.81,6285.01,6307.19,6307.19,27206,27200,-82.81,-1.3,6365.28,"September 08, 23",-0.013,,,,,
2023-09-07,6305,6414.26,6283,6405.81,6405.81,38068,38100,100.81,1.6,6374.75,"September 07, 23",0.016,,,,,
2023-09-06,6199.98,6349.95,6199.98,6318.15,6318.15,30085,30100,118.17,1.91,6277.52,"September 06, 23",0.0191,,,,,
2023-09-05,6490.26,6509.74,6179.51,6181.67,6181.67,32396,32400,-308.59,-4.75,6224.59,"September 05, 23",-0.0475,,,,,
2023-09-01,6422.2,6525,6393.92,6509.35,6509.35,19989,20000,87.15,1.36,6487.81,"September 01, 23",0.0136,,,,,
2023-08-31,6365.35,6416.2,6335.495,6377.33,6377.33,28912,28900,11.98,0.18821,6386.92,"August 31, 23",0.0018821,,,,,
2023-08-30,6292.65,6386.9788,6292.65,6368.96,6368.96,22315,22300,76.31,1.21,6356.62,"August 30, 23",0.0121,,,,,
