date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-04-09,121.71,139.31,117.26,139.07,139.07,1974900,1974900,17.36,14.26,129.3375,"April 09, 25",0.1426
2025-04-08,136.86,137.96,122.06,123.61,123.61,1586300,1586300,-13.25,-9.68,130.1225,"April 08, 25",-0.0968
2025-04-07,132.79,139.16,128.03,134.07,134.07,1984900,1984900,1.28,0.96393,133.5125,"April 07, 25",0.0096393
2025-04-04,137.99,140.15,132.99,136.9,136.9,1666210,1666210,-1.09,-0.78991,137.0075,"April 04, 25",-0.0078991
2025-04-03,146.33,146.33,138.7,140.98,140.98,1012274,1012274,-5.35,-3.66,143.085,"April 03, 25",-0.0366
2025-04-02,143.97,150.16,142.76,149.28,149.28,1192902,1192902,5.31,3.69,146.5425,"April 02, 25",0.0369
2025-04-01,150.81,151.37,145.66,145.99,145.99,1019439,1019439,-4.82,-3.2,148.4575,"April 01, 25",-0.032
2025-03-31,153.73,153.82,146.64,150.52,150.52,1356000,1356000,-3.21,-2.09,151.1775,"March 31, 25",-0.0209
2025-03-28,156.94,158.71,154.77,155.55,155.55,1078600,1078600,-1.39,-0.88569,156.4925,"March 28, 25",-0.0088569
2025-03-27,158.27,159.08,156.11,158.06,158.06,598800,598800,-0.21,-0.13268,157.88,"March 27, 25",-0.0013268
2025-03-26,160.92,162.32,157.23,158.25,158.25,772136,772136,-2.67,-1.66,159.68,"March 26, 25",-0.0166
2025-03-25,167.32,168,161.02,161.35,161.35,930100,930100,-5.97,-3.57,164.4225,"March 25, 25",-0.0357
2025-03-24,166.92,169.26,165.83,166.98,166.98,674632,674632,0.06,0.03594536,167.2475,"March 24, 25",0.0003594536
2025-03-21,162.94,167.94,162.68,167.28,167.28,1638932,1638932,4.34,2.66,165.21,"March 21, 25",0.0266
2025-03-20,170.92,171.71,164.55,165.35,165.35,1542116,1542116,-5.57,-3.26,168.1325,"March 20, 25",-0.0326
2025-03-19,176.06,178.81,173.2,173.88,173.88,1072602,1072602,-2.18,-1.24,175.4875,"March 19, 25",-0.0124
2025-03-18,175.11,177.12,173.13,176.94,176.94,1011933,1011933,1.83,1.05,175.575,"March 18, 25",0.0105
2025-03-17,171.03,175.6,170.54,175.01,175.01,1013300,1013300,3.98,2.33,173.045,"March 17, 25",0.0233
2025-03-14,168.11,171.63,168.11,171.04,171.04,1034100,1034100,2.93,1.74,169.7225,"March 14, 25",0.0174
2025-03-13,169.36,172.25,166.85,166.93,166.93,1130000,1130000,-2.43,-1.43,168.8475,"March 13, 25",-0.0143
2025-03-12,167.5,171.19,165.35,170.59,170.59,976218,976218,3.09,1.84,168.6575,"March 12, 25",0.0184
2025-03-11,173.14,175.07,165.67,166.63,166.63,1209700,1209700,-6.51,-3.76,170.1275,"March 11, 25",-0.0376
2025-03-10,173.78,181.44,173.78,175.12,175.12,1516900,1516900,1.34,0.77109,176.03,"March 10, 25",0.0077109
2025-03-07,168.5,177.24,168.1,175.92,175.92,1169106,1169106,7.42,4.4,172.44,"March 07, 25",0.044
2025-03-06,166.16,170.61,164.16,169.27,169.27,1171427,1171427,3.11,1.87,167.55,"March 06, 25",0.0187
2025-03-05,164.69,167.99,164.36,167.55,167.55,892200,892200,2.86,1.74,166.1475,"March 05, 25",0.0174
2025-03-04,164.07,166.71,162,164.31,164.31,1173204,1173204,0.24,0.14628,164.2725,"March 04, 25",0.0014628
2025-03-03,165.89,166.72,162.18,163.5,163.5,1389700,1389700,-2.39,-1.44,164.5725,"March 03, 25",-0.0144
2025-02-28,164.64,165.82,163.71,165.31,165.31,4191700,4191700,0.67,0.40695,164.87,"February 28, 25",0.0040695
2025-02-27,166.81,167.96,163.42,164.88,164.88,1800900,1800900,-1.93,-1.16,165.7675,"February 27, 25",-0.0116
2025-02-26,167,170.44,165.77,167.96,167.96,1524900,1524900,0.96,0.57485,167.7925,"February 26, 25",0.0057485
2025-02-25,170.64,172.43,165.99,167.1,167.1,2140600,2140600,-3.54,-2.07,169.04,"February 25, 25",-0.0207
2025-02-24,166.41,172.45,165.59,170.51,170.51,1382609,1382609,4.1,2.46,168.74,"February 24, 25",0.0246
2025-02-21,162.39,165.05,161.3,163.02,163.02,1216600,1216600,0.63,0.38795,162.94,"February 21, 25",0.0038795
2025-02-20,165,168.02,161.47,162.25,162.25,1804700,1804700,-2.75,-1.67,164.185,"February 20, 25",-0.0167
2025-02-19,159.28,166.44,155.15,165,165,1985232,1985232,5.72,3.59,161.4675,"February 19, 25",0.0359
2025-02-18,151.59,155.69,151.18,154.39,154.39,1910000,1910000,2.8,1.85,153.2125,"February 18, 25",0.0185
2025-02-14,155.02,155.02,151.92,151.99,151.99,841132,841132,-3.03,-1.95,153.4875,"February 14, 25",-0.0195
2025-02-13,155.02,155.29,152.35,153.17,153.17,901107,901107,-1.85,-1.19,153.9575,"February 13, 25",-0.0119
2025-02-12,152.39,154.73,150.79,154,154,1278400,1278400,1.61,1.06,152.9775,"February 12, 25",0.0106
2025-02-11,157.37,158.48,154.01,154.9,154.9,946200,946200,-2.47,-1.57,156.19,"February 11, 25",-0.0157
2025-02-10,163.98,164.32,157.41,159.89,159.89,1709860,1709860,-4.09,-2.49,161.4,"February 10, 25",-0.0249
2025-02-07,166.85,166.86,163,163.79,163.79,564421,564421,-3.06,-1.83,165.125,"February 07, 25",-0.0183
2025-02-06,167.18,168.84,164.93,166.27,166.27,1048530,1048530,-0.91,-0.54432,166.805,"February 06, 25",-0.0054432
2025-02-05,165.84,166.12,163.12,165.87,165.87,671049,671049,0.03,0.01808973,165.2375,"February 05, 25",0.0001808973
2025-02-04,162.14,169.67,161.43,163.12,163.12,1476700,1476700,0.98,0.60442,164.09,"February 04, 25",0.0060442
2025-02-03,161.8,164.28,160,161.62,161.62,835500,835500,-0.18,-0.11125,161.925,"February 03, 25",-0.0011125
2025-01-31,166.07,167.09,164.38,164.76,164.76,623022,623022,-1.31,-0.78882,165.575,"January 31, 25",-0.0078882
2025-01-30,164,166.2,161.69,165.57,165.57,896172,896172,1.57,0.95732,164.365,"January 30, 25",0.0095732
2025-01-29,163,163,159.65,161.64,161.64,560900,560900,-1.36,-0.83436,161.8225,"January 29, 25",-0.0083436
2025-01-28,167.47,167.47,163.16,163.64,163.64,534051,534051,-3.83,-2.29,165.435,"January 28, 25",-0.0229
2025-01-27,166.55,168.55,164.92,165.84,165.84,875401,875401,-0.71,-0.4263,166.465,"January 27, 25",-0.004263
2025-01-24,167.91,168.15,164.71,164.97,164.97,836534,836534,-2.94,-1.75,166.435,"January 24, 25",-0.0175
2025-01-23,168.9,169.01,164.02,166.86,166.86,970900,970900,-2.04,-1.21,167.1975,"January 23, 25",-0.0121
2025-01-22,167.87,170.83,166.82,168.22,168.22,952776,952776,0.35,0.20849,168.435,"January 22, 25",0.0020849
2025-01-21,165.28,171.75,165,169.81,169.81,1356639,1356639,4.53,2.74,167.96,"January 21, 25",0.0274
2025-01-17,165.41,167.5,163.07,163.5,163.5,1146694,1146694,-1.91,-1.15,164.87,"January 17, 25",-0.0115
2025-01-16,168.62,168.62,160.85,165.8,165.8,2606421,2606421,-2.82,-1.67,165.9725,"January 16, 25",-0.0167
2025-01-15,180.5,182.25,173.81,173.91,173.91,1212634,1212634,-6.59,-3.65,177.6175,"January 15, 25",-0.0365
2025-01-14,179.87,185,175.61,178.08,178.08,1867948,1867948,-1.79,-0.99516,179.64,"January 14, 25",-0.0099516
2025-01-13,186.34,190.68,184.5,190.14,190.14,670685,670685,3.8,2.04,187.915,"January 13, 25",0.0204
2025-01-10,183.97,188.26,183.97,186.12,186.12,911500,911500,2.15,1.17,185.58,"January 10, 25",0.0117
2025-01-08,189.21,189.49,184.32,187.91,187.91,493200,493200,-1.3,-0.68707,187.7325,"January 08, 25",-0.0068707
2025-01-07,190.86,193.56,187.98,189.76,189.76,807223,807223,-1.1,-0.57634,190.54,"January 07, 25",-0.0057634
2025-01-06,187.63,192.97,186.14,189.54,189.54,652113,652113,1.91,1.02,189.07,"January 06, 25",0.0102
